"GXP/GIP","Bus","Name","Voltage","Number","Creation date","Easting","Northing","Lat","Long","Island","TLA","Transmission region","A nearby population center or terrain feature","Main lines company","Code","# active ICPs as of Jan 2010","and by retailer: Meridian Energy","Genesis Power","Contact Energy","Mighty River Power","Trustpower","Other","Main retailer as of 2010 (by ICPs)","Mean offtake over 2005-09 (MW)","Max offtake over 2005-09 (MW)","Load factor","Mean offtake in winter - peak periods (MW)","Mean offtake in winter - offpeak day periods (MW)","Mean offtake in winter - offpeak night periods (MW)","Mean offtake in summer - peak periods (MW)","Mean offtake in summer - offpeak day periods (MW)","Mean offtake in summer - offpeak night periods (MW)","Highest load in…","Daily demand trace over 2007-09","168-hour demand profile over 2007-09","Embedded generators over 1 MW","Direct connect customers","From distributor survey                                      : major individual loads",": comments on other loads",": CBD (%)",": residential (%)",": commercial / industrial (%)",": agricultural (%)"
"ABY0111","ABY","Albury",11,"1","earlier",1424387,5097841,-44.251,170.800,"S","Mackenzie District","South Canterbury","Albury (which is near Fairlie)","Alpine Energy","ALPE",1477,139,120,1040,4,174,0,"Contact Energy",1,5,26%,1,2,1,1,1,1,"Winter daytime","Plot for ABY0111","Plot for ABY0111","Opuha",," ","Fairlie township",0%,50%,25%,25%
"ADD0111","ADD","Addington",11,"1","earlier",1567878,5179257,-43.539,172.602,"S","Christchurch City","Canterbury","Addington, Christchurch","Orion New Zealand Limited","ORON",12512,7650,151,3280,815,421,195,"Meridian Energy Ltd",33,68,48%,43,42,31,33,36,23,"Winter peak","Plot for ADD0111","Plot for ADD0111",,," ","Part of Christchurch CBD","most","some","some",0%
"ADD0661","ADD","Addington",66,"1","earlier",1567878,5179257,-43.539,172.602,"S","Christchurch City","Canterbury","Addington, Christchurch","Orion New Zealand Limited","ORON",28822,17690,379,7372,2023,878,480,"Meridian Energy Ltd",66,143,46%,87,84,68,61,66,47,"Winter peak","Plot for ADD0661","Plot for ADD0661","9 MW of assorted embedded gen",," ","Part of Christchurch CBD",80%,"some","little",0%
"ALB0331","ALB","Albany",33,"1","earlier",1750950,5932751,-36.739,174.691,"N","North Shore City","North Isthmus","Albany, North Shore","United Networks Ltd","UNET",35581,628,13209,6429,14763,240,312,"Mighty River Power Limited",67,151,44%,94,78,58,75,73,50,"Winter peak","Plot for ALB0331","Plot for ALB0331","Rosedale",,,,,,,
"ALB1101","ALB","Albany",110,"1","earlier",1750950,5932751,-36.739,174.691,"N","North Shore City","North Isthmus","Albany, North Shore","United Networks Ltd","UNET",50354,995,19172,10479,19043,197,468,"Genesis Power",73,173,42%,106,88,67,79,77,53,"Winter peak","Plot for ALB1101","Plot for ALB1101",,,,,,,,
"APS0111","APS","Arthur's Pass",11,"1","earlier",1483146,5243863,-42.949,171.568,"S","Selwyn District","West Coast","Arthur's Pass","Orion New Zealand Limited","ORON",159,135,1,16,2,4,1,"Meridian Energy Ltd",0,0,38%,0,0,0,0,0,0,"Winter peak","Plot for APS0111","Plot for APS0111",,," "," ",0%,"some","little","some"
"ASB0331","ASB","Ashburton",33,"1","earlier",1498848,5137660,-43.907,171.740,"S","Ashburton District","Canterbury","Ashburton","Electricity Ashburton Ltd","EASH",10426,1875,77,1669,30,6775,0,"Trustpower",31,93,33%,33,30,26,37,37,31,"Summer peak","Plot for ASB0331","Plot for ASB0331","Montalto",,"CMP works, PPCS","Irrigation",10%,30%,30%,30%
"ASB0661","ASB","Ashburton",66,"1",22/09/1999,1498848,5137660,-43.907,171.740,"S","Ashburton District","Canterbury","Ashburton","Electricity Ashburton Ltd","EASH",6429,3103,54,491,37,2744,0,"Meridian Energy Ltd",19,93,20%,5,5,4,34,35,32,"Summer daytime","Plot for ASB0661","Plot for ASB0661","Highbank",," ","Irrigation",5%,10%,20%,65%
"ASY0111","ASY","Ashley",11,"1","earlier",1569376,5209968,-43.262,172.623,"S","Waimakariri District","Canterbury","Ashley (which is north of Rangiora)",,,0,0,0,0,0,0,0,,8,11,68%,8,8,8,8,8,8,"Summer daytime","Plot for ASY0111","Plot for ASY0111",,"Carter Holt Harvey MDF","Fibre board factory"," ",0%,0%,100%,0%
"ATU1101","ATU","Atarau",110,"1",27/04/2007,1476031,5311880,-42.335,171.495,"S","Grey District","West Coast","Atarau (east of Greymouth)","Westpower Ltd","WPOW",80,6,1,1,0,72,0,"Trustpower",1,4,21%,1,1,1,1,1,1,"Summer night","Plot for ATU1101","Plot for ATU1101",,,"Pike River mine"," ",0%,0%,95%,5%
"BAL0331","BAL","Balclutha",33,"1","earlier",1350993,4875585,-46.228,169.771,"S","Clutha District","Otago Southland","Balclutha","Otago Power Ltd","OTPO",9166,1545,121,925,96,6478,1,"Trustpower",17,28,62%,20,19,15,19,19,15,"Winter peak","Plot for BAL0331","Plot for BAL0331",,,"Meat works","Dairy, sheep, meat, milk, timber",0%,"some","some",50%
"BDE0111","BDE","Brydone",11,"1","earlier",1279331,4872606,-46.224,168.842,"S","Gore District","Otago Southland","Mataura (south of Gore)",,,0,0,0,0,0,0,0,,6,9,67%,6,6,6,6,6,6,"Winter night","Plot for BDE0111","Plot for BDE0111",,"Dongwha Patinna MDF",,,,,,
"BLN0331","BLN","Blenheim",33,"1","earlier",1677832,5405471,-41.499,173.933,"S","Marlborough District","Nelson Marlborough","Blenheim","Marlborough Lines Ltd","MARL",24075,2841,457,2959,300,17518,0,"Trustpower",41,71,57%,52,44,37,46,44,33,"Winter peak","Plot for BLN0331","Plot for BLN0331","Marlborough Lines Diesel",,"Frozen food producer","Wine industry, irrigation, forestry",0%,45%,30%,25%
"BOB0331","BOB","Bombay",33,"1","earlier",1777529,5882326,-37.189,175.000,"N","Franklin District","Auckland","Bombay Hills","Counties Power Ltd","COUP",8650,106,2127,4826,1473,116,2,"Contact Energy",17,41,42%,23,19,16,19,18,14,"Winter peak","Plot for BOB0331","Plot for BOB0331",,," "," ",0%,70%,30%,0%
"BOB1101","BOB","Bombay",110,"1",1/05/2000,1777529,5882326,-37.189,175.000,"N","Franklin District","Auckland","Bombay Hills","Counties Power Ltd","COUP",17331,203,2823,8478,5489,318,20,"Contact Energy",22,48,45%,30,26,19,25,24,17,"Winter peak","Plot for BOB1101","Plot for BOB1101","Bombay",," ","Waikato river pumping station, water treatment plant, sawmill",0%,60%,40%,0%
"BPE0331","BPE","Bunnythorpe",33,"1","earlier",1824466,5537739,-40.281,175.640,"N","Manawatu District","Central","Palmerston North","Powerco Ltd","POCO",32728,1905,18544,5659,6218,281,121,"Genesis Power",38,87,43%,55,47,34,39,41,26,"Winter peak","Plot for BPE0331","Plot for BPE0331","Tararua Stage 2",," "," ",26%,14%,27%,33%
"BPE0551","BPE","Bunnythorpe",55,"1","earlier",1824466,5537739,-40.281,175.640,"N","Manawatu District","Central","Palmerston North",,,0,0,0,0,0,0,0,,1,7,13%,1,1,1,1,1,1,"Summer peak","Plot for BPE0551","Plot for BPE0551",,"Ontrack",,,,,,
"BPT1101","BPT","Black Point",110,"1","earlier",1426242,5027113,-44.888,170.800,"S","Waitaki District","Otago Southland","Lower Waitaki River",,,0,0,0,0,0,0,0,,2,10,17%,0,1,0,3,3,3,"Summer daytime","Plot for BPT1101","Plot for BPT1101",,"Irrigation","Irrigation (only load at GXP)"," ",0%,0%,0%,100%
"BRB0331","BRB","Bream Bay",33,"1","earlier",1733637,6031788,-35.849,174.480,"N","Whangarei District","North Isthmus","Ruakaka (south of Whangarei)","Northpower Ltd","NPOW",3918,1494,1111,444,836,33,0,"Meridian Energy Ltd",36,43,84%,38,37,36,36,36,35,"Winter peak","Plot for BRB0331","Plot for BRB0331",,,"Oil refinery"," ",0%,"some","most","some"
"BRK0331","BRK","Brunswick",33,"1","earlier",1775374,5584684,-39.870,175.051,"N","Wanganui District","Central","Wanganui","Powerco Ltd","POCO",11696,159,6927,1198,3200,198,14,"Genesis Power",14,39,37%,20,16,14,15,15,11,"Winter peak","Plot for BRK0331","Plot for BRK0331",,," ","Wanganui city",25%,25%,25%,25%
"BRY0111","BRY","Bromley",11,"1","earlier",1575606,5180021,-43.532,172.698,"S","Christchurch City","Canterbury","Bromley, Christchurch","Orion New Zealand Limited","ORON",13469,7934,117,3904,997,274,243,"Meridian Energy Ltd",29,62,47%,39,34,30,28,27,22,"Winter peak","Plot for BRY0111","Plot for BRY0111","Christchurch City Wastewater",," "," ",0%,"most","some","little"
"BRY0661","BRY","Bromley",66,"1","earlier",1575606,5180021,-43.532,172.698,"S","Christchurch City","Canterbury","Bromley, Christchurch","Orion New Zealand Limited","ORON",43126,24604,389,12414,3937,829,953,"Meridian Energy Ltd",59,159,37%,82,66,66,55,51,45,"Winter peak","Plot for BRY0661","Plot for BRY0661",,," ","Includes about 20% of Christchurch CBD","some","some","some",0%
"CBG0111","CBG","Cambridge",11,"1","earlier",1818481,5805626,-37.871,175.484,"N","Waipa District","Waikato","Cambridge","Waipa Power Ltd","WAIP",10508,185,2636,262,714,6475,236,"Trustpower",21,39,54%,26,21,18,25,23,19,"Winter peak","Plot for CBG0111","Plot for CBG0111",,,"Fonterra Hautapu"," ",0%,50%,10%,40%
"CLH0111","CLH","Castle Hill",11,"1","earlier",1496822,5214720,-43.213,171.730,"S","Selwyn District","West Coast","Castle Hill (on road to Arthur's Pass)","Orion New Zealand Limited","ORON",152,107,8,16,9,6,6,"Meridian Energy Ltd",0,1,29%,0,0,0,0,0,0,"Winter peak","Plot for CLH0111","Plot for CLH0111",,," "," ",0%,"some","little","some"
"CML0331","CML","Cromwell",33,"1","earlier",1300162,5003365,-45.060,169.192,"S","Central Otago District","Otago Southland","Cromwell","Aurora Energy Ltd","DUNE",10119,1193,247,1898,17,6737,27,"Trustpower",11,27,40%,16,13,11,11,10,8,"Winter peak","Plot for CML0331","Plot for CML0331","Roaring Meg",," ","Tourism, skifields, vineyard irrigation",0%,50%,20%,30%
"COL0111","COL","Coleridge",11,"1","earlier",1480635,5197737,-43.364,171.527,"S","Selwyn District","Canterbury","Lake Coleridge","Orion New Zealand Limited","ORON",110,67,11,17,0,14,1,"Meridian Energy Ltd",0,0,36%,0,0,0,0,0,0,"Winter peak","Plot for COL0111","Plot for COL0111",,,,,,,,
