Trading_date,Trading_period,Node,Price
2016-01-01,1,MTR0331,64.56
2016-01-01,2,MTR0331,68.72
2016-01-01,3,MTR0331,75.31
2016-01-01,4,MTR0331,75.11
2016-01-01,5,MTR0331,67.1
2016-01-01,6,MTR0331,74.44
2016-01-01,7,MTR0331,69.4
2016-01-01,8,MTR0331,67.15
2016-01-01,9,MTR0331,64.06
2016-01-01,10,MTR0331,63.97
2016-01-01,11,MTR0331,69.98
2016-01-01,12,MTR0331,66.31
2016-01-01,13,MTR0331,65.83
2016-01-01,14,MTR0331,55.25
2016-01-01,15,MTR0331,35.82
2016-01-01,16,MTR0331,30.63
2016-01-01,17,MTR0331,30.65
2016-01-01,18,MTR0331,17.69
2016-01-01,19,MTR0331,34.96
2016-01-01,20,MTR0331,50.36
2016-01-01,21,MTR0331,53.24
2016-01-01,22,MTR0331,55.23
2016-01-01,23,MTR0331,61.24
2016-01-01,24,MTR0331,63.93
2016-01-01,25,MTR0331,60.49
2016-01-01,26,MTR0331,73.58
2016-01-01,27,MTR0331,77.12
2016-01-01,28,MTR0331,77.07
2016-01-01,29,MTR0331,75.21
2016-01-01,30,MTR0331,72.62
2016-01-01,31,MTR0331,75.2
2016-01-01,32,MTR0331,79.86
2016-01-01,33,MTR0331,74.47
2016-01-01,34,MTR0331,74.3
2016-01-01,35,MTR0331,68.97
2016-01-01,36,MTR0331,76.32
2016-01-01,37,MTR0331,69.13
2016-01-01,38,MTR0331,73.97
2016-01-01,39,MTR0331,73.98
2016-01-01,40,MTR0331,78.27
2016-01-01,41,MTR0331,80.62
2016-01-01,42,MTR0331,85.29
2016-01-01,43,MTR0331,83.76
2016-01-01,44,MTR0331,81.13
2016-01-01,45,MTR0331,77.13
2016-01-01,46,MTR0331,82.75
2016-01-01,47,MTR0331,84.87
2016-01-01,48,MTR0331,81.17
2016-01-02,1,MTR0331,78.41
2016-01-02,2,MTR0331,75.42
2016-01-02,3,MTR0331,71.5
2016-01-02,4,MTR0331,71.1
2016-01-02,5,MTR0331,70.37
2016-01-02,6,MTR0331,74.41
2016-01-02,7,MTR0331,74.63
2016-01-02,8,MTR0331,74.64
2016-01-02,9,MTR0331,75.05
2016-01-02,10,MTR0331,74.75
2016-01-02,11,MTR0331,75.1
2016-01-02,12,MTR0331,81.11
2016-01-02,13,MTR0331,83.03
2016-01-02,14,MTR0331,68.96
2016-01-02,15,MTR0331,61.47
2016-01-02,16,MTR0331,67.89
2016-01-02,17,MTR0331,66.25
2016-01-02,18,MTR0331,64.14
2016-01-02,19,MTR0331,74.12
2016-01-02,20,MTR0331,77.46
2016-01-02,21,MTR0331,77.74
2016-01-02,22,MTR0331,76.37
2016-01-02,23,MTR0331,77.32
2016-01-02,24,MTR0331,77.29
2016-01-02,25,MTR0331,78.04
2016-01-02,26,MTR0331,75.28
2016-01-02,27,MTR0331,74.96
2016-01-02,28,MTR0331,76.39
2016-01-02,29,MTR0331,75.27
2016-01-02,30,MTR0331,76.11
2016-01-02,31,MTR0331,75.71
2016-01-02,32,MTR0331,77
2016-01-02,33,MTR0331,77.8
2016-01-02,34,MTR0331,75.24
2016-01-02,35,MTR0331,81.48
2016-01-02,36,MTR0331,83.46
2016-01-02,37,MTR0331,80.94
2016-01-02,38,MTR0331,82.19
2016-01-02,39,MTR0331,78.89
2016-01-02,40,MTR0331,74.43
2016-01-02,41,MTR0331,58.92
2016-01-02,42,MTR0331,58.64
2016-01-02,43,MTR0331,67.46
2016-01-02,44,MTR0331,61.21
2016-01-02,45,MTR0331,60.73
2016-01-02,46,MTR0331,61.67
2016-01-02,47,MTR0331,56.56
2016-01-02,48,MTR0331,48.48
2016-01-03,1,MTR0331,48.51
2016-01-03,2,MTR0331,56.16
2016-01-03,3,MTR0331,48.42
2016-01-03,4,MTR0331,65.75
2016-01-03,5,MTR0331,66.35
2016-01-03,6,MTR0331,63.41
2016-01-03,7,MTR0331,62.65
2016-01-03,8,MTR0331,62.81
2016-01-03,9,MTR0331,62.65
2016-01-03,10,MTR0331,62.97
2016-01-03,11,MTR0331,62.56
2016-01-03,12,MTR0331,65.28
2016-01-03,13,MTR0331,65.14
2016-01-03,14,MTR0331,63.85
2016-01-03,15,MTR0331,51.93
2016-01-03,16,MTR0331,50.11
2016-01-03,17,MTR0331,61.31
2016-01-03,18,MTR0331,62.11
2016-01-03,19,MTR0331,61.51
2016-01-03,20,MTR0331,70.2
2016-01-03,21,MTR0331,72.91
2016-01-03,22,MTR0331,72.83
2016-01-03,23,MTR0331,72.8
2016-01-03,24,MTR0331,70.74
2016-01-03,25,MTR0331,66.46
2016-01-03,26,MTR0331,65.33
2016-01-03,27,MTR0331,73.14
2016-01-03,28,MTR0331,63.12
2016-01-03,29,MTR0331,61.86
2016-01-03,30,MTR0331,59.87
2016-01-03,31,MTR0331,60.11
2016-01-03,32,MTR0331,66.48
2016-01-03,33,MTR0331,70.68
2016-01-03,34,MTR0331,60.41
2016-01-03,35,MTR0331,60.65
2016-01-03,36,MTR0331,66.5
2016-01-03,37,MTR0331,65.74
2016-01-03,38,MTR0331,60.9
2016-01-03,39,MTR0331,50.83
2016-01-03,40,MTR0331,44.2
2016-01-03,41,MTR0331,44.18
2016-01-03,42,MTR0331,39.19
2016-01-03,43,MTR0331,52.75
2016-01-03,44,MTR0331,52.15
2016-01-03,45,MTR0331,49.43
2016-01-03,46,MTR0331,41.06
2016-01-03,47,MTR0331,47.59
2016-01-03,48,MTR0331,37.07
2016-01-04,1,MTR0331,48.45
